Obtid,Time,TEMP,P,HUM,WDR,WS,R,VIZ
58015,20221001115636,5.7,1010.3,80,289,1.4,0.1,10413.1
58102,20221001115636,27.1,1021.1,52,168,1.9,0.2,10043.4
58118,20221001115636,24.3,1021.0,15,132,6.5,0.2,10467.3
58122,20221001115636,9.1,1002.4,40,319,0.1,0.7,10004.5
58203,20221001115636,19.3,1017.6,26,23,6.6,0.8,10044.2
58215,20221001115636,21.7,1005.9,94,20,11.7,0.4,10152.6
58221,20221001115636,7.1,1022.5,78,197,13.8,0.3,10498.9
58225,20221001115636,7.1,1012.5,25,97,11.9,1.1,10084.6
58236,20221001115636,12.7,1013.8,27,319,4.6,0.7,10441.7
58311,20221001115636,13.1,1014.5,80,186,5.4,0.0,10203.7
58314,20221001115636,7.3,1011.7,79,180,13.2,0.0,10387.4
58319,20221001115636,2.1,1017.1,52,45,3.1,0.7,10009.4
58321,20221001115636,32.2,1017.5,72,225,13.3,0.5,10401.8
58326,20221001115636,6.4,1012.9,99,285,11.1,1.3,10246.7
58336,20221001115636,29.7,1020.8,94,208,2.5,1.5,10273.0
58338,20221001115636,26.1,1021.4,72,300,13.3,1.0,10267.4
58414,20221001115636,21.9,1016.2,1,171,14.7,0.7,10134.1
58419,20221001115636,16.1,1012.4,53,234,12.0,1.0,10264.4
58424,20221001115636,21.6,1019.2,7,358,13.5,0.3,10469.1
58429,20221001115636,24.3,1003.1,40,243,10.2,0.2,10314.8
58436,20221001115636,33.2,1010.7,14,354,3.9,1.0,10084.6
58437,20221001115636,6.4,1006.0,74,142,0.6,0.5,10089.3
58520,20221001115636,6.6,1013.7,1,199,11.1,1.5,10356.6
58531,20221001115636,9.5,1009.6,97,212,7.9,1.5,10444.0
54406,20221001115636,30.0,1006.3,43,101,3.7,0.0,10145.5
54416,20221001115636,7.1,1016.0,53,306,0.7,0.5,10045.8
54511,20221001115636,27.8,1024.2,30,162,13.2,1.0,10052.2
58725,20221001115636,29.8,1005.7,64,294,9.5,1.1,10164.6
58730,20221001115636,29.9,1017.2,94,41,14.7,0.0,10237.8
58731,20221001115636,22.9,1022.9,63,282,11.6,1.0,10010.0
58734,20221001115636,5.5,1003.9,21,151,14.8,1.4,10352.8
