Obtid,Time,TEMP,P,HUM,WDR,WS,R,VIZ
58015,20220917105757,11.4,1024.2,34,94,7.2,1.3,10233.4
58102,20220917105757,24.9,1015.1,37,157,12.7,0.5,10072.5
58118,20220917105757,5.7,1019.9,34,23,6.7,1.2,10277.9
58122,20220917105757,0.7,1013.6,97,250,11.8,1.0,10267.3
58203,20220917105757,16.0,1021.1,38,182,1.4,1.0,10112.2
58215,20220917105757,34.7,1022.9,72,180,12.0,1.1,10285.2
58221,20220917105757,26.9,1023.7,29,119,13.6,0.2,10368.9
58225,20220917105757,33.9,1015.2,98,49,8.8,1.3,10326.7
58236,20220917105757,5.9,1011.6,86,82,13.5,0.2,10049.0
58311,20220917105757,21.5,1019.5,6,227,4.1,1.2,10475.4
58314,20220917105757,11.6,1013.0,58,250,14.7,0.6,10341.2
58319,20220917105757,18.2,1006.2,48,171,5.6,0.4,10310.9
58321,20220917105757,16.5,1006.8,93,133,3.1,0.2,10075.6
58326,20220917105757,28.9,1016.4,65,277,10.1,1.3,10211.8
58336,20220917105757,9.4,1007.0,25,235,13.2,0.9,10193.8
58338,20220917105757,32.5,1005.6,79,336,12.5,0.5,10073.5
58414,20220917105757,12.1,1009.7,81,348,1.0,0.0,10248.8
58419,20220917105757,16.2,1017.4,9,252,10.9,0.8,10081.1
58424,20220917105757,0.9,1016.8,87,23,8.8,0.2,10211.3
58429,20220917105757,30.8,1007.7,29,93,11.9,1.4,10316.9
58436,20220917105757,0.2,1004.9,30,320,10.6,0.1,10137.9
58437,20220917105757,5.4,1018.1,90,351,14.0,0.5,10166.6
58520,20220917105757,34.2,1020.2,6,332,1.5,1.5,10319.4
58531,20220917105757,11.4,1010.2,78,240,10.4,0.5,10045.7
54406,20220917105757,18.2,1019.2,57,354,9.8,1.3,10335.3
54416,20220917105757,29.1,1020.6,63,192,8.7,1.1,10032.5
54511,20220917105757,5.9,1016.2,12,49,12.4,0.8,10388.8
58725,20220917105757,27.6,1008.6,9,100,7.0,0.5,10277.0
58730,20220917105757,31.3,1024.1,67,44,10.5,0.6,10042.5
58731,20220917105757,5.6,1009.4,33,309,6.5,1.4,10291.6
58734,20220917105757,15.0,1022.9,17,153,5.1,0.7,10207.7
58737,20220917105757,32.7,1020.0,56,322,0.8,0.7,10204.2
58744,20220917105757,15.4,1021.6,55,27,4.4,1.3,10264.2
58754,20220917105757,28.5,1021.9,90,134,11.3,0.5,10092.0
58818,20220917105757,18.8,1021.9,97,14,6.8,0.4,10239.4
58820,20220917105757,8.1,1018.7,83,309,13.9,0.2,10194.5
58834,20220917105757,25.9,1010.1,46,8,5.4,0.8,10082.8
58837,20220917105757,23.3,1015.0,99,149,2.4,0.7,10086.6
58843,20220917105757,10.0,1000.7,71,90,3.1,0.6,10448.9
58846,20220917105757,23.2,1024.1,26,233,2.5,0.3,10355.1
58847,20220917105757,23.6,1021.7,47,124,10.1,1.1,10070.7
58911,20220917105757,22.1,1015.6,33,156,6.8,1.1,10378.6
58918,20220917105757,30.9,1002.5,66,65,8.3,1.1,10244.8
58921,20220917105757,28.0,1010.9,65,18,13.5,0.5,10376.5
58926,20220917105757,22.4,1022.6,18,46,9.8,1.5,10276.3
