站点代码, 数据时间, 气温, 气压, 相对湿度, 风向, 风速, 降雨量, 能见度
58015,20220523065472,1.0,1020.4,53,315,5.6,1.3,10358.0
58102,20220523065472,7.7,1018.7,95,27,8.9,0.1,10000.2
58118,20220523065472,19.1,1016.0,12,109,10.6,0.8,10265.6
58122,20220523065472,11.8,1024.6,14,268,1.9,0.3,10419.4
58203,20220523065472,3.0,1016.8,75,57,11.5,1.0,10016.9
58215,20220523065472,19.2,1000.5,83,24,0.4,0.9,10036.9
58221,20220523065472,29.5,1023.7,74,342,12.9,0.0,10111.3
58225,20220523065472,9.8,1023.1,93,315,6.9,0.6,10420.5
58236,20220523065472,19.1,1002.9,28,51,3.0,0.2,10146.8
58311,20220523065472,33.7,1008.0,45,248,14.2,0.6,10192.9
58314,20220523065472,32.6,1018.0,96,134,0.9,0.0,10103.1
58319,20220523065472,7.0,1023.3,21,15,11.6,1.3,10316.9
58321,20220523065472,31.5,1008.8,79,47,14.2,0.9,10372.6
58326,20220523065472,24.2,1022.4,71,129,14.2,1.4,10440.1
58336,20220523065472,18.5,1010.8,94,303,10.0,0.5,10131.6
58338,20220523065472,27.2,1001.9,26,9,6.4,0.2,10372.7
58414,20220523065472,25.9,1001.8,51,169,13.6,0.4,10107.0
58419,20220523065472,19.5,1003.6,52,285,14.7,1.0,10370.3
58424,20220523065472,6.1,1006.8,69,326,13.3,0.9,10303.0
58429,20220523065472,14.5,1000.9,39,336,11.6,0.3,10406.6
58436,20220523065472,3.9,1019.8,26,315,12.8,0.3,10125.5
58437,20220523065472,11.2,1014.1,86,317,9.4,0.1,10314.1
58520,20220523065472,1.9,1002.1,81,313,5.1,0.8,10010.5
58531,20220523065472,6.8,1006.4,21,283,11.8,0.6,10302.2
54406,20220523065472,10.0,1020.2,69,167,14.1,0.5,10140.1
54416,20220523065472,5.7,1020.2,19,98,12.8,1.2,10273.1
54511,20220523065472,23.2,1003.3,42,358,10.4,0.1,10201.5
58725,20220523065472,3.8,1021.9,63,212,3.8,1.0,10135.9
58730,20220523065472,11.8,1011.9,87,345,12.1,0.6,10266.4
58731,20220523065472,18.8,1001.1,99,156,12.4,0.8,10127.1
58734,20220523065472,1.3,1012.9,62,219,11.7,1.4,10431.8
58737,20220523065472,14.9,1012.0,1,69,14.9,1.4,10150.2
58744,20220523065472,25.7,1005.6,38,50,9.0,0.3,10186.2
58754,20220523065472,25.1,1017.2,12,98,8.3,1.3,10439.2
58818,20220523065472,14.4,1001.4,41,174,5.6,0.1,10023.2
58820,20220523065472,32.3,1013.5,43,237,8.0,0.2,10227.8
58834,20220523065472,10.8,1006.6,100,93,5.2,1.2,10405.5
58837,20220523065472,22.6,1005.9,71,97,14.8,0.5,10148.3
58843,20220523065472,8.1,1024.7,54,161,7.4,1.3,10342.5
58846,20220523065472,1.0,1013.3,1,205,5.5,1.0,10252.5
58847,20220523065472,15.5,1006.8,33,20,14.4,0.8,10251.3
58911,20220523065472,5.8,1025.2,70,300,13.8,0.3,10104.8
58918,20220523065472,30.4,1017.6,86,150,1.5,0.2,10398.6
58921,20220523065472,14.9,1023.1,19,301,13.6,1.4,10363.4
58926,20220523065472,14.4,1004.6,34,200,0.6,0.2,10030.2
58927,20220523065472,13.9,1005.7,46,188,2.6,1.4,10222.3
58931,20220523065472,22.5,1022.6,90,113,12.7,1.4,10297.8
58933,20220523065472,2.9,1003.7,87,186,0.5,0.4,10332.8
58936,20220523065472,17.4,1022.8,39,3,9.4,0.8,10114.3
58944,20220523065472,13.1,1023.7,68,54,4.4,1.3,10418.5
59113,20220523065472,26.9,1023.6,95,197,8.7,0.8,10097.8
59126,20220523065472,16.7,1015.2,19,71,7.9,1.3,10349.4
59133,20220523065472,27.4,1014.8,57,8,14.2,1.1,10172.8
59134,20220523065472,28.5,1004.4,80,21,1.1,0.6,10285.1
59321,20220523065472,0.2,1002.8,3,19,14.7,0.8,10111.2
52323,20220523065472,20.7,1022.2,65,13,14.7,0.6,10390.3
52418,20220523065472,27.5,1025.4,14,55,5.3,0.5,10321.6
52424,20220523065472,6.4,1025.1,59,167,3.5,0.9,10135.0
52436,20220523065472,6.8,1012.3,29,257,0.3,1.4,10043.9
52446,20220523065472,2.4,1002.3,59,167,6.3,1.4,10140.7
52447,20220523065472,20.4,1022.4,57,308,4.6,0.5,10454.0
52533,20220523065472,15.7,1007.0,99,30,10.7,0.5,10278.6
52546,20220523065472,8.2,1022.8,71,23,8.8,0.2,10306.4
52652,20220523065472,4.7,1008.0,90,204,1.0,0.3,10236.9
52661,20220523065472,29.5,1024.6,24,155,7.8,1.5,10400.2
52674,20220523065472,4.3,1009.5,32,155,14.3,1.4,10448.2
52679,20220523065472,23.8,1019.6,15,264,9.1,0.0,10365.6
52681,20220523065472,33.6,1003.1,89,354,1.6,1.3,10103.2
52787,20220523065472,31.6,1015.7,3,294,14.8,0.1,10459.3
52797,20220523065472,10.0,1012.4,19,222,11.1,0.5,10462.9
52884,20220523065472,9.5,1015.3,7,286,7.6,0.1,10444.8
52895,20220523065472,8.7,1020.9,39,160,14.6,0.6,10341.3
52983,20220523065472,32.8,1024.3,97,23,8.5,1.0,10035.4
52984,20220523065472,13.8,1000.8,41,264,8.9,0.2,10352.0
52986,20220523065472,10.4,1007.6,49,207,9.5,1.0,10395.9
52996,20220523065472,7.9,1010.9,17,353,13.9,1.1,10136.5
53821,20220523065472,25.5,1001.0,20,311,9.5,1.2,10084.2
53915,20220523065472,13.2,1001.1,46,98,14.6,0.5,10026.4
53923,20220523065472,5.2,1025.7,53,218,0.8,0.0,10009.3
56074,20220523065472,7.7,1007.2,63,139,13.8,1.1,10131.7
56080,20220523065472,18.1,1019.1,19,164,7.3,0.1,10132.5
56093,20220523065472,11.8,1023.2,64,311,2.4,0.0,10207.8
56096,20220523065472,12.9,1021.5,56,38,9.4,0.4,10440.0
57014,20220523065472,17.1,1006.0,46,348,1.9,1.5,10101.0
57996,20220523065472,11.6,1022.8,12,97,12.6,0.9,10300.2
59072,20220523065472,17.7,1005.9,23,293,7.6,1.3,10311.2
59082,20220523065472,8.0,1003.0,99,75,4.2,0.1,10475.2
59087,20220523065472,30.7,1025.5,34,208,7.6,0.2,10073.7
59088,20220523065472,16.2,1002.9,88,87,3.0,1.5,10428.7
59096,20220523065472,5.4,1021.5,52,220,10.1,0.1,10205.8
59097,20220523065472,19.1,1010.0,11,352,5.5,1.2,10346.1
59107,20220523065472,29.8,1022.8,97,315,12.9,0.5,10260.5
59116,20220523065472,32.3,1001.1,25,6,5.3,1.1,10025.4
59117,20220523065472,22.7,1025.9,64,81,4.7,0.6,10389.0
59271,20220523065472,10.4,1005.4,36,250,9.9,0.5,10335.8
59278,20220523065472,22.3,1016.5,27,213,7.1,1.1,10372.3
59280,20220523065472,23.7,1001.4,64,351,1.8,1.1,10031.8
59287,20220523065472,27.2,1004.8,84,94,11.9,1.0,10453.7
59289,20220523065472,23.0,1024.2,50,171,10.3,1.3,10095.8
59293,20220523065472,4.9,1001.4,69,108,4.2,1.5,10132.7
59294,20220523065472,8.0,1023.8,2,117,12.4,1.3,10178.8
59298,20220523065472,29.8,1006.1,98,3,11.1,0.5,10422.3
59303,20220523065472,25.3,1018.9,18,141,4.4,1.4,10498.0
59304,20220523065472,31.2,1022.8,27,252,9.0,0.6,10280.8
59306,20220523065472,21.9,1015.4,75,117,10.9,1.1,10329.7
59310,20220523065472,4.8,1015.9,43,76,0.3,0.7,10270.9
59316,20220523065472,10.2,1008.7,62,337,10.4,1.0,10430.5
59317,20220523065472,8.6,1001.2,76,227,10.2,0.5,10429.6
59324,20220523065472,24.0,1021.8,13,324,3.9,0.2,10153.9
59456,20220523065472,19.1,1002.0,88,75,11.2,0.1,10426.7
59462,20220523065472,28.0,1018.1,4,191,9.5,0.1,10164.9
59478,20220523065472,22.1,1009.2,85,181,14.6,0.7,10386.0
59485,20220523065472,18.3,1019.3,53,171,11.3,0.0,10381.2
59488,20220523065472,2.1,1024.1,42,203,7.2,1.3,10299.3
59493,20220523065472,0.8,1001.3,3,133,13.1,0.5,10008.8
59501,20220523065472,21.3,1021.4,18,110,2.4,1.3,10281.6
59658,20220523065472,10.4,1019.8,86,359,12.8,0.5,10237.7
59663,20220523065472,12.7,1012.8,32,85,6.4,0.4,10416.3
59664,20220523065472,2.6,1015.6,92,214,11.2,0.5,10234.0
59673,20220523065472,9.1,1011.3,17,356,2.9,1.3,10360.3
59754,20220523065472,7.7,1023.7,44,74,0.2,1.2,10067.4
57947,20220523065472,23.2,1005.6,9,213,7.9,1.5,10214.9
57957,20220523065472,28.5,1016.6,72,32,1.7,1.1,10189.2
57958,20220523065472,30.7,1014.0,39,109,1.5,0.2,10314.7
59021,20220523065472,20.4,1024.5,65,0,7.9,0.3,10022.1
59023,20220523065472,19.2,1025.4,73,181,1.1,0.8,10422.5
59027,20220523065472,24.6,1012.9,5,144,9.0,0.0,10150.4
59037,20220523065472,18.9,1009.8,29,191,5.5,1.0,10341.5
59046,20220523065472,27.2,1010.8,78,348,6.5,1.0,10157.2
59058,20220523065472,7.2,1013.1,96,307,14.3,0.3,10174.2
59065,20220523065472,6.1,1024.4,75,206,2.3,0.6,10022.3
59209,20220523065472,23.1,1015.3,53,25,5.3,0.8,10299.8
59211,20220523065472,3.8,1014.6,41,292,12.1,0.1,10093.5
59218,20220523065472,8.7,1007.8,21,292,1.7,1.1,10461.3
59228,20220523065472,0.7,1022.4,100,156,13.4,0.1,10127.4
59242,20220523065472,19.7,1015.1,46,285,1.6,0.9,10096.1
59254,20220523065472,12.4,1019.2,19,133,7.6,0.2,10269.3
59265,20220523065472,30.3,1010.4,18,256,14.3,0.5,10200.6
59417,20220523065472,24.7,1016.5,81,342,13.9,0.3,10199.8
59431,20220523065472,3.4,1005.5,53,295,1.1,0.6,10326.5
59446,20220523065472,28.9,1007.2,63,51,12.7,0.8,10241.6
59453,20220523065472,12.0,1000.2,2,144,12.3,0.2,10457.6
59626,20220523065472,5.9,1018.5,62,268,1.7,0.9,10001.7
59631,20220523065472,8.4,1015.7,41,234,2.7,0.1,10328.9
59632,20220523065472,15.9,1013.3,82,170,9.0,1.5,10206.6
59644,20220523065472,22.7,1006.0,7,284,6.9,0.7,10493.2
59647,20220523065472,13.8,1020.8,22,99,9.0,1.0,10340.7
56691,20220523065472,20.0,1012.0,43,75,5.0,0.6,10120.6
56693,20220523065472,26.7,1004.4,19,40,12.2,1.1,10458.2
56792,20220523065472,4.9,1025.4,16,204,11.9,1.3,10174.0
56793,20220523065472,31.1,1016.8,91,81,11.3,1.1,10060.1
57606,20220523065472,0.2,1019.9,84,220,12.1,1.3,10316.9
57614,20220523065472,11.4,1022.2,78,211,9.1,0.3,10442.2
57625,20220523065472,7.7,1021.2,66,223,4.3,0.4,10304.7
57647,20220523065472,17.5,1003.1,81,133,8.9,0.2,10236.3
57707,20220523065472,29.3,1012.7,31,7,12.8,0.6,10106.5
57710,20220523065472,13.2,1009.6,47,263,5.3,0.7,10149.4
57712,20220523065472,11.5,1016.1,50,253,7.0,0.2,10389.6
57718,20220523065472,1.7,1018.8,16,118,0.4,1.2,10284.4
57722,20220523065472,24.4,1004.1,71,69,0.0,0.5,10128.6
57729,20220523065472,21.5,1017.5,28,310,0.6,0.2,10014.7
57731,20220523065472,23.2,1003.4,80,257,7.0,0.4,10142.9
